ParkName,mean(RecreationVisits),meanlikes,averagecomments,likes,Zscorelikes,comments,Zscorecomments,infuencers
Acadia,243499.7308,112.0763009,3.332263223,284010,86.79104327,1647,43.29685809,22329
Arches,70784.36111,172.6902357,4.066164644,694191,212.2246079,3277,86.26821422,33126
Badlands,85369.6859,112.6875235,3.305278537,176756,53.99271389,5216,137.3856741,5940
Big Bend,25685.4359,125.7295231,3.816762717,159201,48.6243857,4737,124.7578952,12607
Black Canyon ,19439.68376,155.6536556,3.140807743,341852,104.4791572,1197,31.43360026,4303
Bryce Canyon,95598.48504,139.2483883,4.00003167,510555,156.0686229,12327,324.8515105,27775
Canyonlands,32853.82479,177.0179736,4.414217394,350921,107.2524621,6364,167.6501629,18434
Capitol Reef,52242.37821,158.1705155,4.204805225,41656,12.67906313,786,20.59849144,502
Carlsbad Caverns,46171.17521,305.5539958,2.787216794,926178,283.166354,4811,126.708742,2197
Crater Lake,39764.8953,162.6501941,4.259603864,458431,140.1290764,1788,47.01401221,11304
Cuyahoga Valley,185019.8312,100.7674473,2.633665186,63032,19.21585512,648,16.96042571,9227
Death Valley,78524.00641,204.5140946,5.264644728,581104,177.6425441,14305,376.9971194,27630
Everglades,78262.41026,161.4063257,3.311439782,755131,230.8600918,10311,271.7041154,10738
Glacier,170195.2073,362.6239454,6.559975418,738180,225.6764672,8326,219.373967,43255
Grand Canyon,352984.7842,175.7505378,4.024856608,1133472,346.5569678,12243,322.6370357,41090
Grand Teton,199593.7692,268.7525611,5.75978463,487677,149.0725186,8930,235.2970953,50695
Great Basin,6897.707265,153.1805776,2.967872284,146313,44.68322855,846,22.18025916,3071
Great Sand Dunes ,23378.00855,190.7417809,4.399611179,510526,156.0597547,3104,81.70745065,12420
Great Smoky Mts,792087.9487,124.5016337,3.131147681,1254079,383.4386516,4254,112.0246651,24547
Guadalupe Mts,15154.66667,183.79256,3.161199486,926105,283.1440306,4810,126.6823792,3774
Hot Springs,112171.7906,107.7436286,2.574203923,297001,90.76369788,796,20.8621194,7255
Joshua Tree,111740.3739,198.946206,5.539868445,1004006,306.9661972,16678,439.5560323,52367
Kings Canyon,57540.24573,147.1222145,3.601264691,1537371,470.0694936,7249,190.9812366,17856
Lassen Volcanic,34988.16453,105.6931317,3.159732209,296057,90.47502218,1087,28.53369279,8378
Mammoth Cave,113662.2607,69.87048994,1.765350044,122220,37.31557653,1050,27.55826937,1302
Mesa Verde,48425.73077,64.37848112,2.032376559,38770,11.79652281,248,6.415307643,2268
Mt Rainier,105988.2393,227.2675708,5.451045322,484129,147.9875383,12548,330.6776882,32644
North Cascades,15679.22009,384.5802309,7.461491213,315014,96.27208271,2644,69.58056487,18026
Olympic,255836.8996,253.6748779,5.082861862,988961,302.3654283,2488,65.46796883,21603
Petrified Forest,59877.04274,86.19474019,2.121600509,162082,49.50539701,599,15.66864875,3780
Redwood,37472.91453,151.8188993,3.337248183,301780,92.22511858,2036,53.55198541,8037
RockyMt,253861.2372,126.7365877,3.403230879,781421,238.8995876,2635,69.34329972,53936
Saguaro,59171.01709,138.2214719,3.722963055,194159,59.31456041,3012,79.2820735,9642
Sequoia,84312.65171,195.463187,4.298651475,1537167,470.0071103,8115,213.8114173,29702
Shenandoah,125826.7543,103.9282984,3.229083528,88544,27.01743809,752,19.70215641,12260
Theodore Roosevelt,42726.92735,103.035179,2.747806166,146267,44.66916172,2452,64.5189082,4374
Wind Cave,52033.6453,209.7678571,2.675709707,346087,105.7742224,1293,33.9644286,2002
Yellowstone,254366.0897,124.925581,3.202925868,472793,144.5209836,4625,121.8052621,20102
Yosemite,294332.1047,284.9318117,6.599311948,1235720,377.8244598,30907,814.6722448,106919
Zion,211550.765,187.0186467,5.049838604,1869267,571.5634642,19031,501.5876893,66363
