"","Viral","Year","ParkName","max_likes","max_influ"
"1","High",2010,"Yosemite",0,0
"2","High",2010,"Zion",11,0
"3","High",2011,"Yosemite",346,2
"4","High",2011,"Zion",32,24
"5","High",2012,"Yosemite",1332,6
"6","High",2012,"Zion",400,19
"7","High",2013,"Yosemite",2628,29
"8","High",2013,"Zion",1212,23
"9","High",2014,"Yosemite",48749,312
"10","High",2014,"Zion",25363,360
"11","High",2015,"Yosemite",111297,996
"12","High",2015,"Zion",60797,1003
"13","High",2016,"Yosemite",269148,5034
"14","High",2016,"Zion",373822,10760
"15","High",2017,"Yosemite",575417,30236
"16","High",2017,"Zion",455460,21054
"17","High",2018,"Yosemite",997307,41329
"18","High",2018,"Zion",514854,21050
"19","High",2019,"Yosemite",1235720,28975
"20","High",2019,"Zion",1869267,12070
"21","Low",2010,"Grt. Sand D. ",3,0
"22","Low",2011,"Acadia",13,0
"23","Low",2011,"Badlands",20,0
"24","Low",2011,"Big Bend",4,0
"25","Low",2011,"Canyonlands",64,0
"26","Low",2011,"Carlsbad C.",11,0
"27","Low",2011,"Crater Lake",13,0
"28","Low",2011,"Cuyahoga V.",23,1
"29","Low",2011,"Everglades",861,0
"30","Low",2011,"Grt. Sand D. ",18,1
"31","Low",2011,"Guadalupe Mts",2,0
"32","Low",2011,"Hot Springs",32,1
"33","Low",2011,"Lassen V.",1,3
"34","Low",2011,"Mammoth C.",5,0
"35","Low",2011,"Mesa Verde",2,0
"36","Low",2011,"Petrified F.",14,0
"37","Low",2011,"Redwood",5,0
"38","Low",2011,"Saguaro",89,0
"39","Low",2011,"Shenandoah",62,0
"40","Low",2011,"T. Roosevelt",55,0
"41","Low",2011,"Yellowstone",60,0
"42","Low",2012,"Acadia",4678,10
"43","Low",2012,"Badlands",554,9
"44","Low",2012,"Big Bend",69,0
"45","Low",2012,"Black Canyon ",7,2
"46","Low",2012,"Canyonlands",2095,1
"47","Low",2012,"Capitol Reef",79,0
"48","Low",2012,"Carlsbad C.",3,0
"49","Low",2012,"Crater Lake",232,3
"50","Low",2012,"Cuyahoga V.",380,2
"51","Low",2012,"Everglades",268,1
"52","Low",2012,"Grt. Basin",333,0
"53","Low",2012,"Grt. Sand D. ",1288,23
"54","Low",2012,"Guadalupe Mts",8,0
"55","Low",2012,"Hot Springs",723,1
"56","Low",2012,"Lassen V.",10,0
"57","Low",2012,"Mammoth C.",66,5
"58","Low",2012,"Mesa Verde",680,1
"59","Low",2012,"N. Cascades",197,3
"60","Low",2012,"Petrified F.",30,0
"61","Low",2012,"Redwood",719,4
"62","Low",2012,"Saguaro",351,42
"63","Low",2012,"Shenandoah",89,0
"64","Low",2012,"T. Roosevelt",86,1
"65","Low",2012,"Wind C.",698,0
"66","Low",2012,"Yellowstone",6009,6
"67","Low",2013,"Acadia",1837,40
"68","Low",2013,"Badlands",8417,6
"69","Low",2013,"Big Bend",161,5
"70","Low",2013,"Black Canyon ",76,2
"71","Low",2013,"Canyonlands",596,12
"72","Low",2013,"Capitol Reef",222,0
"73","Low",2013,"Carlsbad C.",51,0
"74","Low",2013,"Crater Lake",304,19
"75","Low",2013,"Cuyahoga V.",263,23
"76","Low",2013,"Everglades",956,25
"77","Low",2013,"Grt. Basin",239,4
"78","Low",2013,"Grt. Sand D. ",1406,48
"79","Low",2013,"Guadalupe Mts",176,1
"80","Low",2013,"Hot Springs",6104,6
"81","Low",2013,"Lassen V.",195,0
"82","Low",2013,"Mammoth C.",338,19
"83","Low",2013,"Mesa Verde",412,0
"84","Low",2013,"N. Cascades",1154,7
"85","Low",2013,"Petrified F.",1114,2
"86","Low",2013,"Redwood",1506,48
"87","Low",2013,"Saguaro",2456,34
"88","Low",2013,"Shenandoah",1430,17
"89","Low",2013,"T. Roosevelt",1672,20
"90","Low",2013,"Wind C.",1575,8
"91","Low",2013,"Yellowstone",4874,24
"92","Low",2014,"Acadia",14647,258
"93","Low",2014,"Badlands",176756,29
"94","Low",2014,"Big Bend",615,60
"95","Low",2014,"Black Canyon ",2250,14
"96","Low",2014,"Canyonlands",19154,142
"97","Low",2014,"Capitol Reef",1107,2
"98","Low",2014,"Carlsbad C.",533,16
"99","Low",2014,"Crater Lake",16781,125
"100","Low",2014,"Cuyahoga V.",14426,139
"101","Low",2014,"Everglades",13888,125
"102","Low",2014,"Grt. Basin",690,17
"103","Low",2014,"Grt. Sand D. ",11918,112
"104","Low",2014,"Guadalupe Mts",483,29
"105","Low",2014,"Hot Springs",17448,95
"106","Low",2014,"Lassen V.",13346,67
"107","Low",2014,"Mammoth C.",554,38
"108","Low",2014,"Mesa Verde",1107,46
"109","Low",2014,"N. Cascades",18052,122
"110","Low",2014,"Petrified F.",2952,11
"111","Low",2014,"Redwood",132622,78
"112","Low",2014,"Saguaro",15612,130
"113","Low",2014,"Shenandoah",2860,63
"114","Low",2014,"T. Roosevelt",13029,18
"115","Low",2014,"Wind C.",248,5
"116","Low",2014,"Yellowstone",156582,195
"117","Low",2015,"Acadia",50656,763
"118","Low",2015,"Badlands",27280,260
"119","Low",2015,"Big Bend",39272,209
"120","Low",2015,"Black Canyon ",29634,170
